"Gene","pathway"
"WNT6","WNT Signalling"
"WNT7A","WNT Signalling"
"WNT7B","WNT Signalling"
"WNT8A","WNT Signalling"
"WNT8B","WNT Signalling"
"WNT9A","WNT Signalling"
"WNT9B","WNT Signalling"
"WNT10B","WNT Signalling"
"WNT10A","WNT Signalling"
"WNT11","WNT Signalling"
"WNT16","WNT Signalling"
"CER1","WNT Signalling"
"NOTUM","WNT Signalling"
"WIF1","WNT Signalling"
"SERPINF1","WNT Signalling"
"SOST","WNT Signalling"
"DKK1","WNT Signalling"
"DKK2","WNT Signalling"
"DKK4","WNT Signalling"
"SFRP1","WNT Signalling"
"SFRP2","WNT Signalling"
"SFRP4","WNT Signalling"
"SFRP5","WNT Signalling"
"RSPO1","WNT Signalling"
"RSPO2","WNT Signalling"
"RSPO3","WNT Signalling"
"RSPO4","WNT Signalling"
"LGR4","WNT Signalling"
"LGR5","WNT Signalling"
"LGR6","WNT Signalling"
"RNF43","WNT Signalling"
"ZNRF3","WNT Signalling"
"FZD1","WNT Signalling"
"FZD7","WNT Signalling"
"FZD2","WNT Signalling"
"FZD3","WNT Signalling"
"FZD4","WNT Signalling"
"FZD5","WNT Signalling"
"FZD8","WNT Signalling"
"FZD6","WNT Signalling"
"FZD10","WNT Signalling"
"FZD9","WNT Signalling"
"LRP5","WNT Signalling"
"LRP6","WNT Signalling"
"BAMBI","WNT Signalling"
"CSNK1E","WNT Signalling"
"TPTEP2-CSNK1E","WNT Signalling"
"DVL3","WNT Signalling"
"DVL2","WNT Signalling"
"DVL1","WNT Signalling"
"FRAT1","WNT Signalling"
"FRAT2","WNT Signalling"
"CSNK2A1","WNT Signalling"
"CSNK2A2","WNT Signalling"
"CSNK2A3","WNT Signalling"
"CSNK2B","WNT Signalling"
"NKD1","WNT Signalling"
"NKD2","WNT Signalling"
"CXXC4","WNT Signalling"
"SENP2","WNT Signalling"
"GSK3B","WNT Signalling"
"CTNNB1","WNT Signalling"
"AXIN1","WNT Signalling"
"AXIN2","WNT Signalling"
"APC","WNT Signalling"
"APC2","WNT Signalling"
"CSNK1A1L","WNT Signalling"
"CSNK1A1","WNT Signalling"
"TCF7","WNT Signalling"
"TCF7L1","WNT Signalling"
"TCF7L2","WNT Signalling"
"LEF1","WNT Signalling"
"CTNNBIP1","WNT Signalling"
"CHD8","WNT Signalling"
"SOX17","WNT Signalling"
"CTBP1","WNT Signalling"
"CTBP2","WNT Signalling"
"CREBBP","WNT Signalling"
"EP300","WNT Signalling"
"RUVBL1","WNT Signalling"
"SMAD4","WNT Signalling"
"MAP3K7","WNT Signalling"
"NLK","WNT Signalling"
"MYC","WNT Signalling"
"JUN","WNT Signalling"
"FOSL1","WNT Signalling"
"CCND1","WNT Signalling"
"CCND2","WNT Signalling"
"CCND3","WNT Signalling"
"CCN4","WNT Signalling"
"PPARD","WNT Signalling"
"MMP7","WNT Signalling"
"PSEN1","WNT Signalling"
"PRKACA","WNT Signalling"
"PRKACB","WNT Signalling"
"PRKACG","WNT Signalling"
"TP53","WNT Signalling"
"SIAH1","WNT Signalling"
"CACYBP","WNT Signalling"
"SKP1","WNT Signalling"
"TBL1X","WNT Signalling"
"TBL1Y","WNT Signalling"
"TBL1XR1","WNT Signalling"
"BTRC","WNT Signalling"
"FBXW11","WNT Signalling"
"CUL1","WNT Signalling"
"RBX1","WNT Signalling"
"GPC4","WNT Signalling"
"ROR1","WNT Signalling"
"ROR2","WNT Signalling"
"RYK","WNT Signalling"
"VANGL2","WNT Signalling"
"VANGL1","WNT Signalling"
"PRICKLE1","WNT Signalling"
"PRICKLE2","WNT Signalling"
"PRICKLE4","WNT Signalling"
"PRICKLE3","WNT Signalling"
"INVS","WNT Signalling"
"DAAM1","WNT Signalling"
"DAAM2","WNT Signalling"
"RHOA","WNT Signalling"
"ROCK2","WNT Signalling"
"RAC1","WNT Signalling"
"RAC2","WNT Signalling"
"RAC3","WNT Signalling"
"MAPK8","WNT Signalling"
"MAPK10","WNT Signalling"
"MAPK9","WNT Signalling"
"PLCB1","WNT Signalling"
"PLCB2","WNT Signalling"
"PLCB3","WNT Signalling"
"PLCB4","WNT Signalling"
"CAMK2A","WNT Signalling"
"CAMK2D","WNT Signalling"
"CAMK2B","WNT Signalling"
"CAMK2G","WNT Signalling"
"PPP3CA","WNT Signalling"
"PPP3CB","WNT Signalling"
"PPP3CC","WNT Signalling"
"PPP3R1","WNT Signalling"
"PPP3R2","WNT Signalling"
"PRKCA","WNT Signalling"
"PRKCB","WNT Signalling"
"PRKCG","WNT Signalling"
"NFATC1","WNT Signalling"
"NFATC2","WNT Signalling"
"NFATC3","WNT Signalling"
"NFATC4","WNT Signalling"
"SMAD3","WNT Signalling"
"PTCH1","Hedgehog Signalling"
"PTCH2","Hedgehog Signalling"
"SMO","Hedgehog Signalling"
"GPR161","Hedgehog Signalling"
"PRKACA","Hedgehog Signalling"
"PRKACB","Hedgehog Signalling"
"PRKACG","Hedgehog Signalling"
"CSNK1A1L","Hedgehog Signalling"
"CSNK1A1","Hedgehog Signalling"
"CSNK1G2","Hedgehog Signalling"
"CSNK1G3","Hedgehog Signalling"
"CSNK1G1","Hedgehog Signalling"
"CSNK1D","Hedgehog Signalling"
"CSNK1E","Hedgehog Signalling"
"TPTEP2-CSNK1E","Hedgehog Signalling"
"GSK3B","Hedgehog Signalling"
"GLI1","Hedgehog Signalling"
"GLI2","Hedgehog Signalling"
"GLI3","Hedgehog Signalling"
"SUFU","Hedgehog Signalling"
"KIF7","Hedgehog Signalling"
"HHIP","Hedgehog Signalling"
"CCND1","Hedgehog Signalling"
"CCND2","Hedgehog Signalling"
"BCL2","Hedgehog Signalling"
"CUL1","Hedgehog Signalling"
"BTRC","Hedgehog Signalling"
"FBXW11","Hedgehog Signalling"
"SHH","Hedgehog Signalling"
"IHH","Hedgehog Signalling"
"DHH","Hedgehog Signalling"
"BOC","Hedgehog Signalling"
"CDON","Hedgehog Signalling"
"GAS1","Hedgehog Signalling"
"LRP2","Hedgehog Signalling"
"SMURF1","Hedgehog Signalling"
"SMURF2","Hedgehog Signalling"
"GRK2","Hedgehog Signalling"
"GRK3","Hedgehog Signalling"
"EVC","Hedgehog Signalling"
"EVC2","Hedgehog Signalling"
"ARRB1","Hedgehog Signalling"
"ARRB2","Hedgehog Signalling"
"KIF3A","Hedgehog Signalling"
"CUL3","Hedgehog Signalling"
"SPOP","Hedgehog Signalling"
"SPOPL","Hedgehog Signalling"
