"seqnames","start","end","width","strand","SYMBOL"
"chr11",134094561,134117686,23126,"+","VPS26B"
"chr11",134146275,134189458,43184,"+","GLB1L3"
"chr19",13229102,13251961,22860,"+","NACC1"
"chr2",55746740,55772216,25477,"+","CFAP36"
"chr1",43849579,43855483,5905,"-","MED8"
"chr1",52497777,52499472,1696,"-","KTI12"
"chr16",50300462,50352043,51582,"+","ADCY7"
"chr1",235824331,236047008,222678,"-","LYST"
"chr16",834974,838383,3410,"-","RPUSD1"
"chr17",43189008,43209891,20884,"-","PLCD3"
"chr11",74811540,74917445,105906,"+","SLCO2B1"
"chr19",49925671,49926698,1028,"-","PTH2"
"chr1",239549865,240072717,522853,"+","CHRM3"
"chr1",150039342,150117505,78164,"+","VPS45"
"chr6",136552168,136571449,19282,"-","MTFR2"
"chr1",24117646,24122029,4384,"+","LYPLA2"
"chr11",64844927,64851615,6689,"-","CDCA5"
"chr17",72462522,72480937,18416,"+","CD300A"
"chr14",105403591,105444694,41104,"-","AHNAK2"
"chr1",8021714,8045342,23629,"+","PARK7"
"chr11",61382508,61406921,24414,"+","RPLP0P2"
"chr19",19010323,19030199,19877,"-","COPE"
"chr20",43935491,43946464,10974,"+","RBPJL"
"chr11",18101890,18127638,25749,"-","SAAL1"
"chr19",2096868,2099583,2716,"+","IZUMO4"
"chr19",1905371,1926012,20642,"+","SCAMP4"
"chr19",1905371,1913446,8076,"+","ADAT3"
"chr12",57388355,57390469,2115,"+","GPR182"
"chr15",40763160,40765357,2198,"+","CHST14"
"chr10",74894282,74927853,33572,"-","ECD"
"chr11",46406640,46408107,1468,"-","CHRM4"
"chr2",99235569,99347589,112021,"-","MGAT4A"
"chr15",44580909,44707959,127051,"+","CASC4"
"chr2",27851515,27873713,22199,"+","GPN1"
"chr17",76108999,76128488,19490,"-","TMC6"
"chr9",116853918,116861507,7590,"-","KIF12"
"chr19",14183821,14185874,2054,"+","MISP3"
"chr17",26721661,26733230,11570,"-","SLC46A1"
"chr12",7052141,7055165,3025,"+","C12orf57"
"chr17",61851567,61896677,45111,"+","DDX42"
"chr12",50794592,50873788,79197,"+","LARP4"
"chrX",65241580,65259967,18388,"-","VSIG4"
"chr7",8008374,8128709,120336,"+","GLCCI1"
"chr17",41363894,41371589,7696,"+","TMEM106A"
"chr20",740724,749228,8505,"-","SLC52A3"
"chr7",32997005,33046543,49539,"+","FKBP9"
"chr6",36461669,36515247,53579,"-","STK38"
"chr15",34261089,34357287,96199,"+","CHRM5"
"chr1",15764938,15773153,8216,"+","CTRC"
"chr12",7074515,7079916,5402,"-","PHB2"
"chr1",6324332,6453826,129495,"-","ACOT7"
"chr7",98992298,99006305,14008,"-","PDAP1"
"chr3",50362341,50365668,3328,"-","TUSC2"
"chr7",26240831,26253227,12397,"+","CBX3"
"chr5",443334,467409,24076,"+","EXOC3"
"chr17",7143738,7145753,2016,"-","GABARAP"
"chr19",56165416,56186082,20667,"+","U2AF2"
"chr15",41601466,41624819,23354,"-","OIP5"
"chr2",175612323,175629200,16878,"-","CHRNA1"
"chr13",37574678,37583751,9074,"+","EXOSC8"
"chr6",166733517,166755991,22475,"-","SFT2D1"
"chr4",174309299,174327528,18230,"-","SCRG1"
"chr2",71213068,71222001,8934,"-","TEX261"
"chr3",149530475,149679925,149451,"+","RNF13"
"chr3",127407905,127542093,134189,"-","MGLL"
"chr3",52262626,52273183,10558,"-","TWF2"
"chr1",35315963,35325417,9455,"-","SMIM12"
"chr16",75600249,75611779,11531,"+","GABARAPL2"
"chr1",33546714,33586131,39418,"+","AZIN2"
"chr1",33360196,33366953,6758,"-","TMEM54"
"chr2",132233580,132240507,6928,"+","TUBA3D"
"chr5",149980642,150038792,58151,"+","SYNPO"
"chr8",27317278,27336813,19536,"-","CHRNA2"
"chr4",84328499,84377025,48527,"-","HELQ"
"chr16",66600294,66613038,12745,"+","CMTM1"
"chr15",78885395,78913637,28243,"-","CHRNA3"
"chr4",108852717,108874613,21897,"+","CYP2U1"
"chr13",114076260,114107839,31580,"-","ADPRHL1"
"chr8",145734552,145736589,2038,"+","MFSD3"
"chr12",113860216,113876081,15866,"+","SDSL"
"chr22",21362496,21368576,6081,"-","TUBA3FP"
"chr20",61974662,62009489,34828,"-","CHRNA4"
"chr22",50986462,50989452,2991,"+","KLHDC7B"
"chr11",196761,200258,3498,"+","ODF3"
"chr7",150026938,150029811,2874,"+","ZBED6CL"
"chr22",31677579,31688520,10942,"-","PIK3IP1"
"chr15",78857862,78887611,29750,"+","CHRNA5"
"chr1",109190910,109204148,13239,"-","HENMT1"
"chr22",40390953,40426043,35091,"+","FAM83F"
"chr5",139944420,139948683,4264,"+","SLC35A4"
"chr19",22235266,22273903,38638,"+","ZNF257"
"chr7",76090972,76135312,44341,"+","DTX2"
"chr15",32322686,32462384,139699,"+","CHRNA7"
"chr8",131792547,132052835,260289,"-","ADCY8"
"chr17",7348406,7360932,12527,"+","CHRNB1"
"chr19",57645464,57656570,11107,"-","ZIM3"
"chr1",45805342,45809650,4309,"+","TOE1"
"chr21",35552978,35562220,9243,"+","LINC00310"
"chr21",44881974,44898103,16130,"-","LINC00313"
"chr21",40969075,40984749,15675,"-","B3GALT5-AS1"
"chr21",45937098,45938860,1763,"+","TSPEAR-AS2"
"chr21",47649158,47671743,22586,"+","MCM3AP-AS1"
"chr7",73097898,73119491,21594,"+","WBSCR22"
"chr14",51441981,51562422,120442,"-","TRIM9"
"chr1",154540257,154552353,12097,"+","CHRNB2"
"chr3",126325895,126373967,48073,"-","TXNRD3"
"chr10",5406976,5416169,9194,"+","UCN3"
"chr19",50452250,50464429,12180,"-","SIGLEC11"
"chr12",40148823,40499661,350839,"-","SLC2A13"
"chr8",42552562,42592209,39648,"+","CHRNB3"
"chr15",63413999,63434260,20262,"+","LACTB"
"chr9",112403068,112713756,310689,"+","PALM2"
"chr15",78916636,78952874,36239,"-","CHRNB4"
"chr6",52284994,52387892,102899,"+","EFHC1"
"chr19",49538826,49540191,1366,"-","CGB1"
"chr19",49535130,49536495,1366,"+","CGB2"
"chr2",233390870,233401375,10506,"+","CHRND"
"chr17",4801064,4806369,5306,"-","CHRNE"
"chr1",247579458,247612406,32949,"+","NLRP3"
"chr8",120220610,120257914,37305,"+","MAL2"
"chr11",63137261,63177712,40452,"+","SLC22A9"
"chr11",75115465,75115610,146,"+","SNORD15B"
"chr2",233404437,233411113,6677,"+","CHRNG"
"chr11",126152982,126164828,11847,"+","TIRAP"
"chr21",26934457,26947480,13024,"+","MIR155HG"
"chr1",43282776,43310660,27885,"+","ERMAP"
"chr17",30335037,30380519,45483,"+","LRRC37B"
"chr10",101948124,101989344,41221,"-","CHUK"
"chr17",74523430,74533987,10558,"-","CYGB"
"chr11",104912053,104916051,3999,"-","CARD16"
"chr19",15579457,15590315,10859,"-","PGLYRP2"
"chr1",153270338,153283194,12857,"-","PGLYRP3"
"chr16",81134484,81253975,119492,"-","PKD1L2"
"chr6",38136227,38607924,471698,"-","BTBD9"
"chr19",48988528,49016446,27919,"-","LMTK3"
"chr1",33979609,34631443,651835,"-","CSMD2"
"chr12",57916659,57923931,7273,"+","MBD6"
"chr8",56015017,56438710,423694,"+","XKR4"
"chr5",176022803,176037131,14329,"-","GPRIN1"
"chr8",113235159,114449242,1214084,"-","CSMD3"
"chr9",130830479,130871537,41059,"+","SLC25A25"
"chr2",220462596,220481173,18578,"+","STK11IP"
"chr15",22833395,22873891,40497,"+","TUBGCP5"
"chr6",97372496,97588630,216135,"+","KLHL32"
"chr2",153191751,153506348,314598,"+","FMNL2"
"chr22",37764000,37823505,59506,"-","ELFN2"
"chr12",125811162,126143589,332428,"+","TMEM132B"
"chr7",1609709,1629261,19553,"+","PSMG3-AS1"
"chr13",84451343,84456528,5186,"-","SLITRK1"
"chr18",19109262,19180693,71432,"-","ESCO1"
"chr2",56179254,56613309,434056,"+","CCDC85A"
"chr6",130687426,130764210,76785,"+","TMEM200A"
"chr1",59120411,59165747,45337,"-","MYSM1"
"chr17",74138534,74236390,97857,"-","RNF157"
"chr2",154728426,155310489,582064,"+","GALNT13"
"chr10",108333421,108924466,591046,"-","SORCS1"
"chr2",23608298,23931483,323186,"+","KLHL29"
"chr1",16793931,16819196,25266,"-","CROCCP3"
"chr8",144451025,144466390,15366,"+","RHPN1"
"chr19",54960065,54973196,13132,"+","LENG8"
"chrX",152157368,152162671,5304,"-","PNMA5"
"chr5",159502892,159546452,43561,"-","PWWP2A"
"chr17",1682829,1733175,50347,"-","SMYD4"
"chr1",15573768,15726778,153011,"+","FHAD1"
"chr1",160454820,160493052,38233,"-","SLAMF6"
"chr18",21742011,21977833,235823,"-","OSBPL1A"
"chr11",3108346,3187969,79624,"-","OSBPL5"
"chr2",179059208,179264160,204953,"+","OSBPL6"
"chr17",45884733,45899147,14415,"-","OSBPL7"
"chr12",76745578,76953589,208012,"-","OSBPL8"
"chr1",52042851,52254891,212041,"+","OSBPL9"
"chr3",31699403,32023342,323940,"-","OSBPL10"
"chr3",125247702,125314381,66680,"-","OSBPL11"
"chr17",77019016,77045870,26855,"+","C1QTNF1"
"chr5",159774775,159797648,22874,"-","C1QTNF2"
"chr5",34017963,34043371,25409,"-","C1QTNF3"
"chr18",12254318,12277594,23277,"+","CIDEA"
"chr11",47611216,47615961,4746,"-","C1QTNF4"
"chr22",37576206,37594341,18136,"-","C1QTNF6"
"chr4",15341560,15447791,106232,"+","C1QTNF7"
"chr8",124510127,124553493,43367,"-","FBXO32"
"chr11",102267056,102323775,56720,"-","TMEM123"
"chr5",111496223,111498198,1976,"+","EPB41L4A-AS1"
"chr8",42396298,42408140,11843,"+","SMIM19"
"chrX",101967104,101972661,5558,"+","GPRASP2"
"chr4",6709429,6711606,2178,"-","MRFAP1L1"
"chr7",130353486,130372268,18783,"-","TSGA13"
"chr11",47586982,47595013,8032,"+","PTPMT1"
"chr16",2933196,2949383,16188,"+","FLYWCH2"
"chr9",116077931,116102620,24690,"-","WDR31"
"chr16",4421849,4433529,11681,"+","VASN"
"chr9",116638562,116818875,180314,"+","ZNF618"
"chr16",4012650,4166186,153537,"-","ADCY9"
"chr6",74134856,74162043,27188,"-","MB21D1"
"chr1",205882177,205912588,30412,"-","SLC26A9"
"chr17",39981334,39992523,11190,"-","NT5C3B"
"chr19",18043824,18054794,10971,"+","CCDC124"
"chr18",43684298,43708299,24002,"+","HAUS1"
"chr1",2481359,2484284,2926,"-","LOC115110"
"chr8",92221722,92410378,188657,"+","SLC26A7"
"chr5",126203406,126366500,163095,"-","MARCH3"
"chr19",2819872,2836733,16862,"+","ZNF554"
"chr14",103985995,103989196,3202,"-","CKB"
"chrX",107334899,107397901,63003,"+","ATG4A"
"chr13",77454304,77460540,6237,"-","KCTD12"
"chr1",58939504,59012446,72943,"-","OMA1"
"chr4",101107027,101111655,4629,"-","DDIT4L"
"chr1",28918712,28921088,2377,"+","RAB42"
"chr3",66119285,66438532,319248,"+","SLC25A26"
"chr19",39432042,39466380,34339,"-","FBXO17"
"chr8",52730140,52811735,81596,"-","PCMTD1"
"chr19",1269267,1274439,5173,"+","CIRBP"
"chr7",1097141,1098897,1757,"+","GPR146"
"chr1",157764194,157789940,25747,"-","FCRL1"
"chr1",157646271,157670775,24505,"-","FCRL3"
"chr1",54411999,54433841,21843,"+","LRRC42"
"chr1",89646831,89664633,17803,"-","GBP4"
"chr1",89724634,89738544,13911,"-","GBP5"
"chr11",537522,554916,17395,"+","LRRC56"
"chr3",50643885,50649262,5378,"-","CISH"
"chr7",23338940,23349180,10241,"+","MALSU1"
"chr9",6413151,6507051,93901,"+","UHRF2"
"chr19",36605888,36616849,10962,"+","TBCB"
"chr16",30613879,30622096,8218,"-","ZNF689"
"chr5",72251808,72386349,134542,"+","FCHO2"
"chr12",58003963,58011028,7066,"+","ARHGEF25"
"chr3",44771098,44778575,7478,"+","ZNF501"
"chr1",27331511,27339333,7823,"-","FAM46B"
"chr16",24857184,24922949,65766,"+","SLC5A11"
"chr22",42321036,42322821,1786,"-","TNFRSF13C"
"chr19",55235984,55248003,12020,"+","KIR3DL3"
"chr2",169643049,169721849,78801,"+","NOSTRIN"
"chr18",56148482,56296189,147708,"-","ALPK2"
"chr19",36266417,36279724,13308,"+","ARHGAP33"
"chr19",7895161,7929862,34702,"+","EVI5L"
"chr14",103995509,104003410,7902,"+","TRMT61A"
"chr19",38899698,38916945,17248,"-","RASGRP4"
"chr12",64660763,64784345,123583,"-","C12orf56"
"chr15",66585633,66626236,40604,"+","DIS3L"
"chr13",50202435,50208008,5574,"+","ARL11"
"chr3",10123004,10149915,26912,"-","FANCD2OS"
"chr19",45809671,45826235,16565,"-","CKM"
"chr12",113633246,113658880,25635,"-","IQCD"
"chr14",24759804,24769039,9236,"-","DHRS1"
"chr13",52158484,52336171,177688,"+","WDFY2"
"chr5",57878939,58147406,268468,"+","RAB3C"
"chr19",17566234,17571725,5492,"-","NXNL1"
"chr15",43885252,43891604,6353,"+","CKMT1B"
"chr8",104383743,104395232,11490,"+","CTHRC1"
"chr16",1399241,1401873,2633,"-","TSR3"
"chr19",11531272,11545980,14709,"-","CCDC151"
"chr19",11594242,11616738,22497,"-","ZNF653"
"chr16",88762903,88772829,9927,"-","RNF166"
"chr18",904944,912173,7230,"+","ADCYAP1"
"chr5",80529139,80562217,33079,"+","CKMT2"
"chr16",11343506,11445617,102112,"+","RMI2"
"chr8",99956631,99964326,7696,"+","OSR2"
"chr3",120043576,120068186,24611,"-","LRRC58"
"chr5",89811445,89825401,13957,"-","LYSMD3"
"chr11",64755417,64764517,9101,"-","BATF2"
"chr11",64358282,64369825,11544,"+","SLC22A12"
"chr20",44420576,44440066,19491,"+","DNTTIP1"
"chr2",189598465,189654831,56367,"-","DIRC1"
"chr5",60169659,60240905,71247,"-","ERCC8"
"chr6",41514164,41570122,55959,"+","FOXP4"
"chr19",42724492,42732353,7862,"+","ZNF526"
"chr1",166573153,166594473,21321,"+","FMO9P"
"chr3",26664300,26752265,87966,"+","LRRC3B"
"chr6",42981841,42989036,7196,"+","KLHDC3"
"chr2",68350068,68384692,34625,"-","WDR92"
"chr6",117996617,118031886,35270,"+","NUS1"
"chr20",54933983,54943718,9736,"+","FAM210B"
"chr20",58152564,58422766,270203,"+","PHACTR3"
"chr21",27838528,27945581,107054,"-","CYYR1"
"chr14",23846017,23848981,2965,"+","CMTM5"
"chr15",43568479,43594453,25975,"-","TGM7"
"chr3",196050417,196065291,14875,"-","TM4SF19"
"chr9",71394964,71398609,3646,"+","FAM122A"
"chr9",140476531,140484937,8407,"-","ZMYND19"
"chr1",244998639,245008359,9721,"+","COX20"
"chr17",27887689,27894042,6354,"-","ABHD15"
"chr17",27051366,27053949,2584,"-","TLCD1"
"chr6",149887528,149912067,24540,"+","GINM1"
"chr2",223536457,223574649,38193,"+","MOGAT1"
"chr16",20634559,20709066,74508,"-","ACSM1"
"chr1",154947118,154951725,4608,"+","CKS1B"
"chr8",69242957,69731258,488302,"+","C8orf34"
"chr11",124481453,124490251,8799,"+","PANX3"
"chr5",441643,443258,1616,"-","EXOC3-AS1"
"chr1",10057255,10076078,18824,"+","RBP7"
"chr6",35911291,35992413,81123,"-","SLC26A8"
"chr2",133402337,133429070,26734,"-","LYPD1"
"chr6",137464957,137494785,29829,"-","IL22RA2"
"chr9",91926113,91931618,5506,"+","CKS2"
"chr19",58878990,58892389,13400,"-","ZNF837"
"chr12",131649556,131697476,47921,"+","LINC01257"
"chr3",149036285,149051548,15264,"-","TM4SF18"
"chrX",154487526,154493852,6327,"-","RAB39B"
"chr9",104331634,104500862,169229,"-","GRIN3A"
"chr19",1000437,1009723,9287,"+","GRIN3B"
"chr8",144391497,144442147,50651,"-","TOP1MT"
"chr21",34442450,34444728,2279,"+","OLIG1"
"chr4",10491838,10686386,194549,"-","CLNK"
"chr1",184020811,184043344,22534,"+","TSEN15"
"chr1",184760159,184943718,183560,"-","FAM129A"
"chr11",68747490,68748455,966,"-","MRGPRD"
"chr11",116660086,116663136,3051,"-","APOA5"
"chr11",3249041,3253616,4576,"-","MRGPRE"
"chr11",68771862,68780850,8989,"-","MRGPRF"
"chr2",74699085,74699942,858,"-","MRPL53"
"chr19",3762665,3767563,4899,"+","MRPL54"
"chr17",79791368,79792926,1559,"-","PPP1R27"
"chr13",33078643,33083532,4890,"-","N4BP2L2-IT2"
"chr3",186838741,186857263,18523,"-","RPL39L"
"chr20",3713317,3733758,20442,"+","HSPA12B"
"chr17",7835442,7853237,17796,"+","CNTROB"
"chr1",227916240,227968932,52693,"+","SNAP47"
"chr5",132209358,132210582,1225,"+","LEAP2"
"chr6",133090507,133119747,29241,"-","SLC18B1"
"chr19",4537227,4540036,2810,"-","LRG1"
"chr3",150803451,151154465,351015,"+","MED12L"
"chr3",150570271,150797617,227347,"+","CLRN1-AS1"
"chr4",176986985,177103985,117001,"+","WDR17"
"chr11",3659736,3663546,3811,"-","ART5"
"chr1",1227764,1244989,17226,"-","ACAP3"
"chr4",35949843,36245979,296137,"-","ARAP2"
"chr11",72396114,72504750,108637,"-","ARAP1"
"chr12",58118076,58135944,17869,"-","AGAP2"
"chr2",236402733,237040444,637712,"+","AGAP1"
"chr7",150782954,150841523,58570,"+","AGAP3"
"chr7",31092076,31151093,59018,"+","ADCYAP1R1"
"chr1",166825749,166845654,19906,"-","TADA1"
"chr11",65784223,65793988,9766,"-","CATSPER1"
"chr1",151843343,151882361,39019,"-","THEM4"
"chrX",85403455,86087605,684151,"+","DACH2"
"chr15",43922772,43959900,37129,"-","CATSPER2"
"chr5",147258274,147261756,3483,"+","SCGB3A2"
"chr1",162365056,162381928,16873,"-","SH2D1B"
"chr12",55038375,55042149,3775,"-","DCD"
"chr16",681012,684116,3105,"+","WFIKKN1"
"chr12",70132631,70216984,84354,"+","RAB3IP"
"chr1",85109390,85156440,47051,"-","SSX2IP"
"chr11",19076003,19082228,6226,"-","MRGPRX2"
"chr11",18142502,18160027,17526,"+","MRGPRX3"
"chr11",18194384,18195827,1444,"+","MRGPRX4"
"chr11",63228876,63258680,29805,"-","HRASLS5"
"chr17",61896793,61905031,8239,"-","FTSJ3"
"chr6",111408781,111544606,135826,"+","SLC16A10"
"chr3",15935569,16271253,335685,"+","GALNT15"
"chr6",33689443,33714762,25320,"-","IP6K3"
"chr20",29956421,29961705,5285,"+","DEFB118"
"chr19",16272179,16284286,12108,"-","CIB3"
"chr6",159456027,159466184,10158,"-","TAGAP"
"chr3",183892634,183901879,9246,"+","AP2M1"
"chr7",100797686,100804557,6872,"+","AP1S1"
"chr19",47341423,47354203,12781,"-","AP2S1"
"chr9",75136717,75451267,314551,"+","TMC1"
"chr20",2517253,2622430,105178,"+","TMC2"
"chr19",14139017,14141783,2767,"+","RLN3"
"chr2",239756673,239832237,75565,"+","TWIST2"
"chr2",205410516,206484886,1074371,"+","PARD3B"
"chr17",33336131,33416348,80218,"-","RFFL"
"chr5",115177619,115249778,72160,"+","AP3S1"
"chr5",178286954,178311424,24471,"+","ZNF354B"
"chr19",40221893,40228669,6777,"-","CLC"
"chr11",5617331,5634188,16858,"+","TRIM6"
"chr1",86934395,86965974,31580,"+","CLCA1"
"chr4",2845584,2931802,86219,"+","ADD1"
"chr7",143013219,143049097,35879,"+","CLCN1"
"chr3",184063973,184079439,15467,"-","CLCN2"
"chr4",170541672,170644338,102667,"+","CLCN3"
"chrX",10124985,10205699,80715,"+","CLCN4"
"chrX",49687225,49863892,176668,"+","CLCN5"
"chr21",29911640,29912677,1038,"+","LINC00161"
"chr1",1189292,1209234,19943,"-","UBE2J2"
"chr4",80748625,80784401,35777,"+","PCAT4"
"chr12",12510020,12619838,109819,"+","BORCS5"
"chr1",102268127,102462790,194664,"-","OLFM3"
"chr4",80822771,80994477,171707,"-","ANTXR2"
"chr12",55248299,55252174,3876,"+","MUCL1"
"chr17",7657638,7658286,649,"+","RPL29P2"
"chr2",114368816,114384715,15900,"-","RPL23AP7"
"chr3",51989330,51991520,2191,"+","GPR62"
"chr16",70284134,70285833,1700,"-","EXOSC6"
"chr10",50507187,50535537,28351,"+","C10orf71"
"chr10",135122894,135166187,43294,"+","PRAP1"
"chr10",135122423,135126666,4244,"+","ZNF511"
"chr10",75541808,75543406,1599,"+","CHCHD1"
"chr10",75180395,75193319,12925,"-","MSS51"
"chr10",75013516,75118617,105102,"-","CFAP70"
"chr1",11866153,11903201,37049,"+","CLCN6"
"chr16",1494934,1525085,30152,"-","CLCN7"
"chr10",128113574,128359079,245506,"-","C10orf90"
"chr10",124030821,124097676,66856,"+","BTBD16"
"chr10",124670217,124672627,2411,"+","FAM24A"
"chr10",124739556,124749923,10368,"+","PSTK"
"chr1",16345370,16360545,15176,"+","CLCNKA"
"chr10",48355089,48373866,18778,"+","ZNF488"
"chr10",98353069,98480279,127211,"-","PIK3AP1"
"chr1",16355621,16383821,28201,"+","CLCNKB"
"chr10",99374310,99393913,19604,"-","MORN4"
"chr10",99496878,99520664,23787,"+","ZFYVE27"
"chr10",127455027,127464390,9364,"-","MMP21"
"chr10",76993729,76995770,2042,"-","COMTD1"
"chr10",95427640,95462913,35274,"-","FRA10AC1"
"chr10",90579659,90611732,32074,"-","ANKRD22"
"chr10",104474298,104498946,24649,"+","SFXN2"
"chr10",119042606,119134937,92332,"-","PDZD8"
"chr2",70834750,70995375,160626,"-","ADD2"
"chr10",46321050,46349325,28276,"-","AGAP4"
"chr10",104613967,104624718,10752,"+","BORCS7"
"chr8",27454434,27472328,17895,"-","CLU"
"chr10",30900708,30918647,17940,"-","LYZL2"
"chrX",154505500,154563986,58487,"-","CLIC2"
"chr10",92911761,92912837,1077,"-","NUDT9P1"
"chr10",88730498,88784487,53990,"+","AGAP11"
"chr10",106028631,106059176,30546,"+","GSTO2"
"chr10",105881816,105886143,4328,"+","SFR1"
"chr10",105232561,105238997,6437,"-","CALHM3"
"chr10",131904273,131907101,2829,"+","CTAGE7P"
"chr10",129676114,129691211,15098,"-","CLRN3"
"chr2",201717732,201729467,11736,"-","CLK1"
"chr10",73621147,73995618,374472,"+","ANAPC16"
"chr10",118187424,118237468,50045,"+","PNLIPRP3"
"chr10",120900425,120925204,24780,"-","SFXN4"
"chr10",125465726,125699779,234054,"-","CPXM2"
"chr1",155232659,155247501,14843,"-","CLK2"
"chr11",5079880,5080857,978,"-","OR52E2"
"chr11",5067756,5068691,936,"+","OR52J3"
"chr11",5020213,5021160,948,"+","OR51L1"
"chr11",4928600,4929538,939,"+","OR51A7"
"chr11",4869467,4870438,972,"-","OR51S1"
"chr11",4842616,4843644,1029,"+","OR51F2"
"chr11",4824663,4825610,948,"-","OR52R1"
"chr7",23624335,23626146,1812,"-","CLK2P1"
"chr11",36616043,36696390,80348,"+","C11orf74"
"chr11",51515282,51516211,930,"+","OR4C46"
"chr11",48266656,48267567,912,"+","OR4X2"
"chr11",48238362,48239291,930,"+","OR4B1"
"chr11",4566421,4567374,954,"+","OR52M1"
"chr11",4470525,4471591,1067,"+","OR52K2"
"chr15",74900713,74922542,21830,"+","CLK3"
"chr14",95058395,95090390,31996,"+","SERPINA3"
"chr10",111756108,111895323,139216,"+","ADD3"
"chr11",6633997,6640692,6696,"-","TPP1"
"chr11",7817521,7818489,969,"-","OR5P2"
"chr11",7846584,7847519,936,"-","OR5P3"
"chr11",45943196,45950647,7452,"+","LARGE2"
"chr16",28477974,28503623,25650,"-","CLN3"
"chr11",92880850,92931095,50246,"-","SLC36A4"
"chr11",92085262,92629635,544374,"+","FAT3"
"chr11",89701672,89707240,5569,"+","TRIM64"
"chr11",129685741,129729898,44158,"+","TMEM45B"
"chr11",14899556,14913751,14196,"-","CYP2R1"
"chr11",20177760,20181870,4111,"-","DBX1"
"chr13",77566059,77576652,10594,"+","CLN5"
"chr11",111169271,111179460,10190,"+","COLCA2"
"chr11",111934734,111944895,10162,"-","PIH1D2"
"chr11",114392437,114430580,38144,"-","NXPE1"
"chr11",114549200,114577652,28453,"+","NXPE2"
"chr11",118064442,118095809,31368,"-","JAML"
"chr11",31391377,31454382,63006,"+","DNAJC24"
"chr11",30344649,30359165,14517,"+","ARL14EP"
"chr11",55860784,55861716,933,"+","OR8I2"
"chr11",77327196,77348851,21656,"-","CLNS1A"
"chr11",6942233,6943225,993,"+","OR2D3"
"chr11",6912805,6913731,927,"-","OR2D2"
"chr11",6220454,6221416,963,"+","OR52W1"
"chr11",6023281,6024378,1098,"-","OR56A4"
"chr11",6047901,6048971,1071,"-","OR56A1"
"chr6",35762759,35765121,2363,"-","CLPS"
"chr12",100631746,100660857,29112,"-","DEPDC4"
"chr12",40618813,40763086,144274,"+","LRRK2"
"chr19",45457842,45496604,38763,"+","CLPTM1"
"chr12",96260826,96336428,75603,"-","CCDC38"
"chr12",10331557,10344403,12847,"+","TMEM52B"
"chr12",50720013,50790405,70393,"-","FAM186A"
"chr12",105380098,105388505,8408,"+","C12orf45"
"chr9",36190853,36212059,21207,"+","CLTA"
"chr12",55968199,55969128,930,"+","OR2AP1"
"chr12",56030676,56031617,942,"+","OR10P1"
"chr5",175819456,175843570,24115,"-","CLTB"
"chr12",57316938,57328189,11252,"-","SDR9C7"
"chr12",59265937,59314319,48383,"-","LRIG3"
"chr12",129556271,130388212,831942,"-","TMEM132D"
"chr12",129277739,129308541,30803,"-","SLC15A4"
"chr12",49458468,49463775,5308,"-","RHEBL1"
"chr12",48876286,48890297,14012,"+","C12orf54"
"chr12",48733793,48745029,11237,"-","ZNF641"
"chr12",48596122,48597075,954,"-","OR10AD1"
"chr12",72332626,72426221,93596,"+","TPH2"
"chr17",57697050,57774317,77268,"+","CLTC"
"chr12",53720360,53730004,9645,"-","SP7"
"chr12",54849736,54867386,17651,"-","GTSF1"
"chr12",55614809,55615759,951,"+","OR10A7"
"chr12",52959603,52967609,8007,"-","KRT74"
"chr12",97301001,97347469,46469,"+","NEDD1"
"chr12",98847619,98850923,3305,"-","SLC9A7P1"
"chr12",99007182,99038829,31648,"-","IKBIP"
"chr14",24974712,24977471,2760,"-","CMA1"
"chr12",14923654,14924065,412,"-","HIST4H4"
"chr12",15066976,15091463,24488,"-","ERP27"
"chr12",32638906,32798984,160079,"+","FGD4"
"chr12",19592608,19675173,82566,"+","AEBP2"
"chr12",108168162,108170421,2260,"+","ASCL4"
"chr12",107712197,108053419,341223,"+","BTBD11"
"chr12",101869199,101880775,11577,"+","SPIC"
"chr12",101111304,101522419,411116,"+","ANO4"
"chr12",109525993,109531293,5301,"-","ALKBH2"
"chr12",109715783,109747025,31243,"-","FOXN4"
"chr12",121200313,121342155,141843,"-","SPPL3"
"chr13",111973015,111996594,23580,"+","TEX29"
"chr13",44596471,44604599,8129,"+","LINC00284"
"chr13",103532449,103548383,15935,"+","METTL21EP"
"chr13",37677397,37679801,2405,"-","CSNK1A1L"
"chr13",32313679,32377009,63331,"+","RXFP2"
"chr13",31506834,31549153,42320,"+","TEX26"
"chr13",78271989,78338377,66389,"+","SLAIN1"
"chr13",113030651,113089009,58359,"+","SPACA7"
"chr14",104394817,104519004,124188,"+","TDRD9"
"chr14",102973198,102976128,2931,"-","ANKRD9"
"chr14",96858448,96955764,97317,"+","AK7"
"chr14",94547639,94569060,21422,"+","IFI27L1"
"chr14",45366507,45376460,9954,"+","C14orf28"
"chr14",39617015,39639634,22620,"-","TRAPPC6B"
"chr14",105452616,105461855,9240,"+","C14orf79"
"chr14",105391187,105399573,8387,"+","PLD4"
"chr14",105190534,105213647,23114,"+","ADSSL1"
"chr14",21051052,21058417,7366,"-","RNASE11"
"chr14",21498345,21500332,1988,"+","TPPP2"
"chr14",21526052,21526516,465,"+","RNASE8"
"chr14",23299092,23304246,5155,"+","MRPL52"
"chr14",23511376,23513269,1894,"+","PSMB11"
"chr14",20482420,20483352,933,"-","OR4K14"
